"100
",659.7764ms
"500
",3.1954408s
"800
",4.914785s
"10
",54.1059ms
"20
",146.3809ms
"50
",322.4651ms
"1000
",6.8233991s
"1500
",10.2080367s
"2000
",13.5720406s
"2000
",13.4314059s
"2500
",15.9331387s
"3000
",19.5673243s
"3000
",19.5289664s
"3500
",22.9459602s
"4000
",26.2198118s
"4500
",29.5713263s
"5000
",32.9283404s
"5500
",36.7097548s
"5500
",35.0245896s
"6000
",38.3636665s
"6500
",42.8979096s
"7000
",46.1926081s
"7500
",48.5762549s
"8000
",52.0215185s
"8500
",56.5689205s
"9000
",58.4323921s
"10000
",64.4185783s
"20000
",130.0079188s
"30000
",194.9748409s
"40000
",261.3664297s
50000,324.9447458s
55000,364.4324267s
60000,395.5279691s
65000,427.2759377s
70000,461.9313578s
75000,653.9819666s
80000,709.9856215s
85000,748.2825218s
90000,783.831592s
95000,808.3466491s
"1000000
",6496.5948967s
